Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
1, 74, 19, 0.11741934294116957, 0.24978717949651502, 0.5287333618682185
2, 72, 19, 0.08194895429679816, 0.2125943889397937, 0.5889845880864835
3, 96, 24, 0.03520355675657394, 0.3126038863525941, 0.5432259964664345
4, 67, 17, 0.06760216872749365, 0.18016351636214567, 0.41782497180136574
5, 105, 27, 0.10333985165041482, 0.23687332647041617, 0.4202679389117684
6, 83, 21, 0.007046807801398949, 0.1560339518517086, 0.3346457945105267
7, 68, 17, 0.06327293399843248, 0.1214078642033588, 0.42580926485416415
8, 89, 23, 0.01973328605415052, 0.12541938594931643, 0.5035770108059253
9, 124, 32, 0.005837352368817661, 0.10677461103393626, 0.3977192968265073
10, 82, 21, 0.016409187457478797, 0.06298596163748937, 0.2939071949991195
11, 77, 20, 0.0011711496642946573, 0.05115375739213764, 0.30090208543736213
12, 100, 25, 0.00024073522630481403, 0.07447773408661994, 0.2554404446774889
13, 71, 18, 0.0075211501137869285, 0.07203290091760298, 0.22590374165129284
14, 80, 20, 0.01903229698249985, 0.10212732667281739, 0.3575423863778817
15, 92, 23, 7.27906681666779e-05, 0.07419941424758297, 0.34802798006047503
16, 86, 22, 0.0110564225952038, 0.05043096002021372, 0.18040673907400362
17, 72, 18, 0.0024135435126322324, 0.06312527116871139, 0.20006656624774377
18, 119, 30, 0.006517471309358314, 0.07682098262348476, 0.2691210584608893
19, 88, 23, 0.009013356807515471, 0.0510224669473459, 0.25511540471348526
20, 109, 28, 0.002837534857894286, 0.038290035472831274, 0.1311597322039566
21, 73, 19, 0.00031178140664417375, 0.04423711513217874, 0.2467667514840891
22, 72, 19, 0.002331574801326064, 0.06909073751112818, 0.3168862256214935
23, 111, 28, 0.014206502620458292, 0.06747781690866406, 0.2986082090277362
24, 92, 24, 0.030244251773638098, 0.06288129430905852, 0.16658951949262402
25, 160, 40, 0.006229650629664629, 0.02933445555883274, 0.21921470355566652
26, 85, 22, 0.0005744171770631912, 0.060735546879426214, 0.10839260293960798
27, 93, 24, 0.0008462411682310655, 0.05964168655936821, 0.14561726962596566
28, 98, 25, 0.017581053396668378, 0.07161137515195652, 0.1881600100054931
29, 92, 23, 0.011776830568320795, 0.06310108514951966, 0.12168375674244655
30, 104, 27, 0.019242550873772024, 0.046914922990674617, 0.09567904953365469
31, 96, 25, 0.007614756471326922, 0.049581543093875025, 0.10752268799540654
32, 78, 20, 0.02043061364057741, 0.0792569703344384, 0.19518721964220176
33, 70, 18, 0.005588415145873271, 0.030776086544096297, 0.09083534326068035
34, 82, 21, 0.02187908007953221, 0.06477738069155077, 0.16444159806640643
35, 72, 19, 0.0050371657803900405, 0.04762337930038097, 0.12303683186204406
36, 112, 29, 0.0014233804998491362, 0.06517208531975871, 0.15866896000508832
37, 81, 21, 0.02317090518607947, 0.04552500053967762, 0.16540697447892244
38, 76, 19, 0.02241079177948316, 0.054547161949052056, 0.11088200693327113
39, 79, 20, 0.005900739362543095, 0.04183397002951445, 0.09534297794936064
40, 84, 22, 0.00046265229673680963, 0.04425716832933533, 0.12561714815320557
41, 57, 15, 0.0031838522389613516, 0.01460929033017923, 0.12477989992199245
